state,make,Sales in Units
ny,acura,25
ny,audi,48
ny,bmw,67
ny,buick,27
ny,cadillac,18
ny,chevrolet,427
ny,chrysler,148
ny,dodge,240
ny,fiat,4
ny,ford,1924
ny,gmc,95
ny,honda,217
ny,hummer,6
ny,hyundai,116
ny,infiniti,17
ny,jaguar,1
ny,jeep,177
ny,kia,97
ny,landrover,7
ny,lexus,19
ny,lincoln,170
ny,mazda,49
ny,mercedes,47
ny,mercury,31
ny,mini,11
ny,mitsubishi,22
ny,nissan,241
ny,pontiac,40
ny,porsche,2
ny,ram,22
ny,saab,5
ny,saturn,21
ny,scion,3
ny,subaru,84
ny,suzuki,13
ny,toyota,199
ny,volkswagen,88
ny,volvo,21
tx,acura,204
tx,aston martin,3
tx,audi,264
tx,bentley,7
tx,bmw,699
tx,buick,317
tx,cadillac,646
tx,chevrolet,5921
tx,chrysler,1316
tx,daewoo,1
tx,dodge,3458
tx,fiat,76
tx,ford,8654
tx,gmc,1031
tx,honda,1064
tx,hummer,87
tx,hyundai,1518
tx,infiniti,1027
tx,isuzu,15
tx,jaguar,74
tx,jeep,1024
tx,kia,1781
tx,landrover,96
tx,lexus,418
tx,lincoln,418
tx,maserati,10
tx,mazda,639
tx,mercedes,1064
tx,mercury,138
tx,mini,150
tx,mitsubishi,501
tx,nissan,4111
tx,oldsmobile,20
tx,plymouth,1
tx,pontiac,369
tx,porsche,69
tx,ram,875
tx,saab,31
tx,saturn,198
tx,scion,70
tx,smart,50
tx,subaru,140
tx,suzuki,80
tx,tesla,3
tx,toyota,1902
tx,volkswagen,927
tx,volvo,190
